bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid,listing_sub_type.is_FSBA,lotAreaUnit,lotAreaValue,newConstructionType,listing_sub_type.is_newHome,datePriceChanged,priceChange,priceReduction,videoCount,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,group_type,priceSuffix,providerListingID
2.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/15e77f595a8ebd65d49c1132260e05da-p_e.jpg,False,True,False,False,False,False,False,29.761908,1915.0,-95.46399,539900.0,539900.0,2727.0,False,TX,5001 Woodway Dr UNIT 901,409358.0,96000,Unit 901,448500.0,77056,28244729,True,,,,,,,,,,,,,,
0.0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.585979461669922,-95.18531799316406&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=t3Hd4Xw8qOY7mAliyG9efhbZRBo=",False,True,False,False,False,False,False,29.58598,,-95.18532,2900000.0,2900000.0,,False,TX,0 Fm 1959 Rd,,98000,,,77034,351475142,True,acres,14.95,,,,,,,,,,,,
4.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3f4648eeb471b0607815bb40ed6a0f09-p_e.jpg,False,True,False,False,True,False,False,29.739637,1793.0,-95.34413,455000.0,455000.0,1650.0,False,TX,3715 Bell St,238811.0,812000,,453900.0,77003,27769853,,sqft,1800.0,BUILDER_SPEC,True,,,,,,,,,,
2.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/f9dbc6ba34d64076e7238d5757b40ba7-p_e.jpg,False,True,False,False,False,False,False,29.729748,1422.0,-95.46603,359000.0,359000.0,2024.0,False,TX,3505 Sage Rd UNIT 2309,342239.0,932000,Unit 2309,,77056,62590881,True,,,,,1715065200000.0,-4000.0,"$4,000 (May 7)",1.0,,,,,,
5.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5648ac7c17d45a24cb40665aa5f09744-p_e.jpg,False,True,False,False,False,False,False,29.76489,3479.0,-95.55314,1679000.0,1679000.0,9674.0,False,TX,220 Morningside Park St,1568200.0,932000,,1682500.0,77024,243978341,True,sqft,2360.952,,,,,,,,,,,,
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c7a1970ddbf647d88e9849286dc61a52-p_e.jpg,False,True,False,False,False,False,False,29.812115,3377.0,-95.36569,580000.0,580000.0,4453.0,False,TX,418 Eleanor St,678272.0,1946000,,581500.0,77009,27875665,True,sqft,10598.148,,,,,,,,,,,,
4.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/53699546c9be792f9c44bb2845887ad2-p_e.jpg,False,True,False,False,False,False,False,29.919928,4525.0,-95.18584,733000.0,733000.0,4002.0,False,TX,16119 Cottage Timbers Ct,655604.0,2305000,,731000.0,77044,161376662,True,acres,0.3153,,,1717398000000.0,-16000.0,"$16,000 (Jun 3)",,,,,,,
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/52fc2ac24f5a616517b076b40ef2805c-p_e.jpg,False,True,False,False,False,False,False,29.978128,2400.0,-95.46201,249900.0,249900.0,2195.0,False,TX,13231 Barrow Point Ln,276079.0,2542000,,249600.0,77014,70309551,True,sqft,5710.716,,,,,,,,,,,,
3.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/af830e6e98721ff3580a6e52f9bb01a4-p_e.jpg,False,True,False,False,False,False,False,29.636478,1800.0,-95.473595,285000.0,285000.0,2194.0,False,TX,12838 Colony Heath Ln,215277.0,3140000,,283400.0,77085,80577554,True,sqft,5174.928,,,1717398000000.0,-5000.0,"$5,000 (Jun 3)",,,,,,,
4.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/f39596a0f9124cd1f68fba36d5a547c8-p_e.jpg,False,True,False,False,False,False,False,29.79181,2022.0,-95.43451,540000.0,540000.0,3350.0,False,TX,3328 W 12th St,529500.0,3725000,,540400.0,77008,126254748,True,sqft,1400.0,,,,,,,,,,,,
2.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1961e6c7d744299d5d9e5504b7415262-p_e.jpg,False,True,False,False,False,False,False,29.69811,1234.0,-95.35293,165000.0,165000.0,1625.0,False,TX,6124 Goforth St,139373.0,3965000,,163100.0,77021,27942170,True,sqft,5201.064,,,,,,,,,,,,
4.0,4.0,Kingwood,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/20d1929a5e8013d521db90a850f47700-p_e.jpg,False,True,False,False,False,False,False,30.048569,3010.0,-95.17965,424900.0,424900.0,2875.0,False,TX,2752 Kings Retreat Cir,397227.0,6117000,,425300.0,77345,123239280,True,sqft,2034.252,,,,,,,Sun. 1-3pm,True,"[{'open_house_end': 1717970400000, 'open_house_start': 1717963200000}]",,,
2.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/143040e28e099154b3aff187bdba4413-p_e.jpg,False,True,False,False,False,False,False,29.593416,2037.0,-95.13862,365000.0,365000.0,2299.0,False,TX,2410 Jasmine Ridge Ct,343994.0,7310000,,365700.0,77062,28538892,True,sqft,6324.912,,,,,,,,,,,,
3.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/d5d584d38b5030def83ffe86853307a8-p_e.jpg,False,True,False,False,False,False,False,29.721062,2564.0,-95.41751,600000.0,600000.0,3882.0,False,TX,2520 Robinhood St APT 1009,478418.0,13838000,Apt 1009,610800.0,77005,62591040,True,,,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3c372aa1b15739f2a9556ce8f5d107f1-p_e.jpg,False,True,False,False,False,False,False,29.895647,1492.0,-95.51238,275000.0,275000.0,1849.0,False,TX,7934 Woodland Pine Dr,270957.0,14464000,,275400.0,77040,70310272,True,sqft,7501.032,,,,,,,,,,,,
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/77d26e57b22892f8d3f5da13bf69250b-p_e.jpg,False,True,False,False,False,False,False,29.682163,1800.0,-95.5533,272000.0,272000.0,1800.0,False,TX,9339 Eagle Creek Ln,236755.0,26592000,,271800.0,77036,28316743,True,sqft,6525.288,,,,,,,,,,,,
3.0,5.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9f5653c3aa23e090e2101b7bae8967f3-p_e.jpg,False,True,False,False,False,False,False,29.945765,3100.0,-95.594734,550000.0,550000.0,2999.0,False,TX,12303 Mile Dr,403975.0,29462000,,551500.0,77065,28043174,True,acres,0.6599999999999999,,,,,,,,,,,,
2.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a2620bb32a7315e0dbbea1236057a472-p_e.jpg,False,True,False,False,False,False,False,29.782543,1800.0,-95.18191,210000.0,210000.0,1825.0,False,TX,13710 Corpus Christi St,119015.0,30059000,,209400.0,77015,27867964,True,sqft,5248.98,,,,,,,,,,,,
3.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/29c69c1b14cd8fe9374d7a69fe99c650-p_e.jpg,False,True,False,False,False,False,False,30.008402,2520.0,-95.44178,249500.0,249500.0,2325.0,False,TX,1011 Larks Trace Ln,280619.0,30775000,,249900.0,77090,118399383,True,sqft,3868.128,,,,,,,,,,,,
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c96a74555a388641f4f6c2a1a5375cb3-p_e.jpg,False,True,False,False,False,False,False,29.874828,2157.0,-95.667046,350000.0,350000.0,2100.0,False,TX,17007 Chason Ct,300788.0,32806000,,352200.0,77084,62566110,True,sqft,5079.096,,,,,,,,,,,,
2.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/821a49c7faff727543a8c41c9df353a2-p_e.jpg,False,True,False,False,False,False,False,29.710058,1032.0,-95.489494,79900.0,79900.0,1494.0,False,TX,6500 Rampart St APT 36,37315.0,34235000,Apt 36,79500.0,77081,28302252,True,acres,1.5808,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/29a623bf59681c9a6dc09467e5072bf3-p_e.jpg,False,True,False,False,False,False,False,29.876,1772.0,-95.66305,248000.0,248000.0,1849.0,False,TX,16722 Britford,216295.0,36510000,,249900.0,77084,28337564,True,sqft,5797.836,,,,,,,,,,,,
2.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/45475287c68c5fd10135986bd84d0bb0-p_e.jpg,False,True,False,False,False,False,False,29.73948,1224.0,-95.49785,137500.0,137500.0,807.0,False,TX,6405 Ella Lee Ln,113608.0,37936000,,136700.0,77057,28294283,True,acres,6.4135,,,1717225200000.0,-2400.0,"$2,400 (Jun 1)",,,,,,,
0.0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/2eaa58cedbe2ce205bc209b39ce4cfd5-p_e.jpg,False,True,False,False,False,False,False,29.798437,,-95.36174,260000.0,260000.0,1500.0,False,TX,4202 Billingsley St,215875.0,39608000,,,77009,27763704,True,sqft,5501.628,,,1696230000000.0,-20000.0,,,,,,,,
2.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7af9911eee5144d3e57ec0e2f24612e3-p_e.jpg,False,True,False,False,False,False,False,29.786701,1444.0,-95.325165,165000.0,165000.0,1949.0,False,TX,2811 Amboy St,154588.0,39609000,,163300.0,77026,27811750,True,sqft,5000.688,,,,,,,,,,,,
2.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/ba0a478abca478ada9009a6160f83de7-p_e.jpg,False,True,False,False,False,False,False,29.560856,1010.0,-95.11377,128000.0,128000.0,1797.0,False,TX,1500 Bay Area Blvd #104,122979.0,39609000,# 104,126000.0,77058,28350424,True,acres,8.4944,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.88212013244629,-95.45027923583984&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=brGQq1-WognjTmCZcYsuhNddzos=",False,True,False,False,False,False,False,29.88212,1420.0,-95.45028,380000.0,380000.0,2081.0,False,TX,2722 Vega St,280811.0,40546000,,379300.0,77088,28116029,True,acres,0.3495,,,,,,,,,,,,
4.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/de4b7345ebd013547e9c96bb56441a06-p_e.jpg,False,True,False,True,False,False,False,29.785189,2443.0,-95.44188,664990.0,664990.0,3902.0,False,TX,"Milan Plan, Somerset Green",,40729000,# PRJCCU,665600.0,77055,2058164565,,,,BUILDER_PLAN,True,1707984000000.0,5000.0,,,,,,BUILDER_COMMUNITY,+,9312
2.0,3.0,Humble,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9579971e8c3433a354318f28ad0e6948-p_e.jpg,False,True,False,False,False,False,False,30.045513,1989.0,-95.23258,289000.0,289000.0,1999.0,False,TX,1519 Sandy Park Dr,330559.0,41022000,,,77339,28524051,True,sqft,7130.772,,,,,,,,,,,,
0.0,0.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/918468f9cc7c61c081d4ef50aa844754-p_e.jpg,False,True,False,False,False,False,False,29.73508,3168.0,-95.36121,675000.0,675000.0,1300.0,False,TX,2615 Tuam St,364987.0,43344000,,,77004,27758391,True,sqft,10001.376,,,,,,,,,,,,
0.0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/35393a02f7544b54c0383195118be084-p_e.jpg,False,True,False,False,False,False,False,29.858961,,-95.5714,88000.0,88000.0,1379.0,False,TX,11019 Melba Ln,63423.0,45379000,,,77041,160443166,True,sqft,8102.16,,,,,,,,,,,,
2.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a1493c39af7a84708301ac75f106aaa1-p_e.jpg,False,True,False,False,False,False,False,29.704187,1725.0,-95.36474,395000.0,395000.0,1994.0,False,TX,3539 Tampa St,248460.0,45620000,,394100.0,77021,27920302,True,sqft,5823.972,,,,,,,,,,,,
3.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c1cfd4e9565a76214a988209b3c29885-p_e.jpg,False,True,False,False,False,False,False,29.8607,1640.0,-95.57236,260000.0,260000.0,1999.0,False,TX,11039 Cedarview Ln,205486.0,45858000,,262700.0,77041,28036839,True,sqft,7801.596,,,1717398000000.0,-10000.0,"$10,000 (Jun 3)",,,,,,,
1.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/0bd64fbc4f03c00633558aa8f65b2678-p_e.jpg,False,True,False,False,False,False,False,29.80674,2793.0,-95.38999,760000.0,760000.0,1012.0,False,TX,704 E 22nd St APT 4,598203.0,46097000,Apt 4,,77008,27753583,True,sqft,5000.0,,,,,,,,,,,,
2.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.560855865478516,-95.11376953125&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=fyePRBfYBQgt8HWnsf6zNu7xId8=",False,True,False,False,False,False,False,29.560856,970.0,-95.11377,113900.0,113900.0,675.0,False,TX,1500 Bay Area Blvd #337,112362.0,47052000,# 337,111900.0,77058,28350646,True,acres,8.4944,,,,,,,,,,,,
