bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid,listing_sub_type.is_FSBA,listing_sub_type.is_bankOwned,datePriceChanged,priceChange,priceReduction,newConstructionType,listing_sub_type.is_newHome,unit,group_type,priceSuffix,providerListingID,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,videoCount
2.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5fb6cdca67f11b45f9cb061abef61475-p_e.jpg,False,True,False,False,False,False,False,29.796509,1512.0,-95.71119,sqft,7910.496,235000.0,235000.0,1817.0,False,TX,2006 Westlake Way,225419.0,2131000,237300.0,77084,28197317,True,,,,,,,,,,,,,,
3.0,4.0,Humble,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b0c5e6a1a11c1d61d456db761fe64506-p_e.jpg,False,True,False,False,False,False,False,30.06374,2532.0,-95.231255,sqft,5248.98,309900.0,309900.0,2299.0,False,TX,21542 Duke Alexander Dr,314700.0,2968000,309700.0,77339,70347311,True,,,,,,,,,,,,,,
2.0,5.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e1d5c5f352631f63baa4c62dd80b8c66-p_e.jpg,False,True,False,False,False,False,False,29.893602,2215.0,-95.410576,sqft,8123.94,152000.0,152000.0,2500.0,False,TX,634 Rocky Mountain Dr,223380.0,3548000,152100.0,77037,28097980,,True,,,,,,,,,,,,,
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e0750673898629e822ec96a9336f79f0-p_e.jpg,False,True,False,False,False,False,False,29.599344,2148.0,-95.460464,sqft,6324.912,247000.0,247000.0,1999.0,False,TX,5218 Wickview Ln,262828.0,4264000,248600.0,77053,28259428,True,,,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9eb2f29d6b6a5fb8702f44a204e6bc8c-p_e.jpg,False,True,False,False,False,False,False,29.797943,1587.0,-95.68683,sqft,6795.36,290000.0,290000.0,1895.0,False,TX,2018 Fernspray Ln,260510.0,4264000,291600.0,77084,28288017,True,,1717484400000.0,-10000.0,"$10,000 (Jun 4)",,,,,,,,,,
3.0,2.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/b7fd93e19bf27749b5cec5f2b4aa8a9f-p_e.jpg,False,True,False,False,False,False,False,29.678406,1404.0,-95.50676,sqft,1144.0,160900.0,160900.0,1749.0,False,TX,6525 Wanda Ln,147594.0,4865000,160100.0,77074,28220338,True,,,,,,,,,,,,,,
3.0,4.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/135066b11fda0fd237ad5b7effe069ea-p_e.jpg,False,True,False,False,False,False,False,29.85818,2678.0,-95.62709,sqft,6298.776,338000.0,338000.0,2500.0,False,TX,5611 S Magazine Cir,334197.0,5102000,341100.0,77084,28487506,True,,,,,,,,,,,,,,
2.0,2.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/40e0489aaf726596df24e933ad173d20-p_e.jpg,False,True,False,False,False,False,False,29.827799,2182.0,-95.311,sqft,3882.0,419990.0,419990.0,1200.0,False,TX,5529 Denmark St,39720.0,5470000,,77028,27899983,,,,,,NEW_CONSTRUCTION_TYPE_OTHER,True,,,,,,,,
7.0,6.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/27baf0d857a1ef3567dd50ba7cfbf5d1-p_e.jpg,False,True,False,False,False,False,False,29.816044,6232.0,-95.4079,acres,0.26230000000000003,1570788.0,1570788.0,9377.0,False,TX,528 W 32nd St,2066434.0,5948000,1574300.0,77018,27872966,True,,1717484400000.0,-12.0,$12 (Jun 4),,,,,,,,,,
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/90c2a7d3507a57468692b1066c2e6a1a-p_e.jpg,False,True,False,False,False,False,False,29.813738,1814.0,-95.496376,sqft,2020.0,399990.0,399990.0,2700.0,False,TX,8404 Pech Landing Dr,,6307000,399000.0,77055,340894609,,,1717484400000.0,90.0,,BUILDER_SPEC,True,,,,,,,,
